City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cape Town,ZA,2021-11-08 20:19:16,-33.9258,18.4232,289.38,73,20,2.57
68,Nuuk,GL,2021-11-08 20:21:22,64.1835,-51.7216,268.49,74,40,2.57
69,Mwinilunga,ZM,2021-11-08 20:22:35,-11.7358,24.4293,293.62,51,36,1.64
70,Albanel,CA,2021-11-08 20:22:35,48.8832,-72.4487,283.23,76,100,5.14
71,Presidencia Roque Saenz Pena,AR,2021-11-08 20:22:36,-26.7852,-60.4388,300.47,53,97,1.69
72,Viking,CA,2021-11-08 20:22:36,53.1001,-111.7684,280.07,34,24,5.24
73,Beringovskiy,RU,2021-11-08 20:22:37,63.05,179.3167,265.57,95,100,1.45
74,Quatre Cocos,MU,2021-11-08 20:22:37,-20.2078,57.7625,298.21,83,49,4.78
75,Aswan,EG,2021-11-08 20:22:38,24.0934,32.907,299.61,17,0,5.08
76,Pangnirtung,CA,2021-11-08 20:22:38,66.1451,-65.7125,263.15,73,1,1.03
77,Castro,BR,2021-11-08 20:22:39,-24.7911,-50.0119,291.35,95,99,4.44
78,Alugan,PH,2021-11-08 20:22:39,12.2188,125.4808,300.31,85,99,5.53
79,Motygino,RU,2021-11-08 20:22:40,58.1831,94.7592,271.37,80,75,6.29
80,Epe,NG,2021-11-08 20:22:40,6.5841,3.9834,298.59,92,83,2.58
81,Butterworth,MY,2021-11-08 20:22:40,5.3991,100.3638,299.17,93,20,1.54
82,Nanortalik,GL,2021-11-08 20:22:41,60.1432,-45.2371,269.53,74,9,7.92
83,Lagoa,PT,2021-11-08 20:22:41,39.05,-27.9833,290.52,95,100,2.19
84,Camargo,MX,2021-11-08 20:22:42,27.6667,-105.1667,300.31,18,100,2.58
85,Port Alfred,ZA,2021-11-08 20:22:42,-33.5906,26.891,289.07,83,100,3.29
86,Kavaratti,IN,2021-11-08 20:22:43,10.5669,72.642,300.56,74,100,2.08
87,Kapaa,US,2021-11-08 20:22:43,22.0752,-159.319,300.14,74,90,0.45
88,Bowen,AU,2021-11-08 20:22:44,-20.0167,148.2333,299.43,86,58,3.76
89,Salalah,OM,2021-11-08 20:22:44,17.0151,54.0924,298.2,73,0,1.03
90,Vikhorevka,RU,2021-11-08 20:22:44,56.1201,101.1636,277.92,58,95,5.48
91,Birao,CF,2021-11-08 20:22:45,10.2849,22.7882,299.66,29,10,2.05
92,Khani,GE,2021-11-08 20:22:45,41.9563,42.9566,280.91,66,92,2.19
93,Puerto Ayora,EC,2021-11-08 20:23:46,-0.7393,-90.3518,299.13,75,62,5.19
94,Yerbogachen,RU,2021-11-08 20:23:46,61.2767,108.0108,271.14,93,100,6.04
95,Almaznyy,RU,2021-11-08 20:23:46,48.0448,40.045,284.23,94,100,4.68
96,Aksha,RU,2021-11-08 20:23:47,50.2814,113.2867,270.54,75,83,4.74
97,Narsaq,GL,2021-11-08 20:23:47,60.9167,-46.05,271.27,86,7,1.4
98,Meiktila,MM,2021-11-08 20:23:48,20.8667,95.8667,294.86,79,45,0.99
99,Saint-Philippe,RE,2021-11-08 20:23:48,-21.3585,55.7679,296.9,86,58,4.19
100,Inta,RU,2021-11-08 20:23:49,66.0317,60.1659,263.74,92,93,4.36
101,Provideniya,RU,2021-11-08 20:23:49,64.3833,-173.3,261.98,88,18,2.39
102,Avarua,CK,2021-11-08 20:23:50,-21.2078,-159.775,299.18,65,75,7.72
103,Atherton,GB,2021-11-08 20:23:50,53.5237,-2.4935,287.44,92,84,2.06
104,Palmer,US,2021-11-08 20:23:51,42.1584,-72.3287,290.9,46,1,0.45
105,Sobolevo,RU,2021-11-08 20:23:51,54.4299,31.8996,274.74,87,95,9.55
106,Chuy,UY,2021-11-08 20:23:52,-33.6971,-53.4616,290.93,68,92,3.58
107,Chokurdakh,RU,2021-11-08 20:23:53,70.6333,147.9167,246.32,91,22,3.33
